customer_id,first_name,last_name,email,country,signup_date
1,William,Smith,robertsimmons@example.com,FR,2025-04-18
2,George,Cameron,bkim@example.net,ES,2025-02-09
3,Anna,Gomez,jalexander@example.com,NL,2025-12-15
4,Daniel,James,lisa60@example.com,BE,2024-07-27
5,Bailey,Fernandez,jamie47@example.org,BE,2023-10-21
6,Kenneth,Mckee,tonya96@example.com,FR,2026-01-12
7,John,Cooke,gardnerrobert@example.net,ES,2023-02-11
8,Kaylee,Melton,fordtommy@example.com,BE,2024-06-03
9,Paula,Garcia,riley53@example.org,NL,2026-01-20
10,John,Guerra,herbert14@example.com,DE,2025-06-07
11,Tammy,Cruz,fergusonbeth@example.com,FR,2024-06-25
12,Scott,Barrett,kristina05@example.org,ES,2023-09-27
13,Alexandra,Ramos,maria47@example.net,FR,2024-03-11
14,Jessica,Ali,gonzalezamy@example.com,BE,2024-05-10
15,Stephanie,Gonzalez,bridget52@example.net,ES,2024-12-19
16,Sean,Ferguson,joevega@example.com,DE,2025-09-06
17,William,Yang,cbryant@example.com,DE,2023-10-19
18,Joshua,Rodriguez,jamesnicholson@example.net,DE,2023-02-03
19,Lisa,Smith,amunoz@example.com,FR,2024-06-28
20,Tammy,Olsen,powersdylan@example.com,BE,2024-01-01
21,Susan,Brown,david40@example.net,ES,2023-05-04
22,Cody,Cisneros,josethompson@example.com,FR,2023-09-22
23,Richard,Johnson,whitejonathan@example.com,NL,2023-05-22
24,Alyssa,Hernandez,dhill@example.com,ES,2023-08-30
25,Jill,Morgan,maria92@example.net,BE,2025-06-25
26,Justin,Mclean,kaylaosborne@example.org,NL,2023-06-21
27,David,Spencer,spencerblair@example.org,FR,2023-11-26
28,Brittany,Morris,guzmansarah@example.net,FR,2024-04-01
29,Kevin,Jackson,wellsmario@example.com,FR,2024-10-09
30,Catherine,Robbins,hannah77@example.net,FR,2024-11-09
31,Amanda,Holt,molson@example.net,DE,2024-07-30
32,Kristina,Hughes,denisegarcia@example.com,ES,2025-02-20
33,Brandon,Garcia,sabrinacase@example.org,ES,2025-05-21
34,Lauren,Rodriguez,lcompton@example.com,FR,2025-06-13
35,Christopher,Gillespie,barbara47@example.net,DE,2023-04-05
36,Annette,Moore,maryryan@example.org,NL,2025-10-09
